"Reference","Qty","Value","Footprint"
"C1,C2","2","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm"
"C3,C4,C5,C6,C7,C10","6","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C8,C9","2","7pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"Conn1,Conn2","2","~","My parts:DIP-14_IDC_2x14"
"D1","1","M7 SMD T/R","Diode_SMD:D_SMA_Handsoldering"
"IC1","1","PIC18F47Q43-I_P","My parts:DIP1543W58P254L5175H635Q40N"
"IC2","1","ULN2804A","My parts:DIP850W46P254L2324H393Q18N"
"IC3","1","L7805CD2T-TR","My parts:L7805CD2T"
"IC4","1","MCP7940M-I_SN","SOIC127P600X175-8N"
"J1","1","DG126-5.0-02P-14-00A","My parts:CONN_DG126-5.0-02P_DEG"
"J2,J3,J5","3","DS1021-1_2SF11-B","SamacSys_Parts:HDRV2W64P0X254_1X2_508X254X588P"
"J4","1","TSW-105-07-G-S","My parts:TSW-105-XX-YY-S"
"J6,J7,J8","3","DS1021-1_2SF11-B","HDRV2W64P0X254_1X2_508X254X588P"
"Q1,Q2,Q3,Q4,Q5,Q6","6","DTA123JCAT116","My parts:TRANS_DTA113ZCAH_ROM"
"R1,R2,R3,R4,R5,R6,R7,R8","8","330R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"R9,R11,R12,R13,R14","5","4K7","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R10","1","470R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R15","1","4k7","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"S1","1","S,TACT-67N-F","My parts:Patice_display,TACT67NF"
"S2,S3","2","TACT-67N-F","TACT67NF"
"Y1","1","32 768Hz","Crystal:32.768KHz Vertical 3_8mm"
